"movieId","movieYear","movieURL","movieTitle","critic_score","critic_sentiment","audience_score","audience_sentiment","release_date_theaters","release_date_streaming","rating","original_language","runtime"
"61f8a21b-0894-32a9-9ee5-626098cb91ec",2000,"https://www.rottentomatoes.com/m/sixth_day","The 6th Day",40.0,"negative",33.0,"negative","Nov 17, 2000, Wide","Jan 1, 2015","PG-13 (Some Sensuality|Brief Strong Language|Strong Action Violence)","English","2h 4m"
"63b405c7-09a1-3d03-a0d0-2722842fc998",2000,"https://www.rottentomatoes.com/m/vertical_limit","Vertical Limit",49.0,"negative",41.0,"negative","Dec 8, 2000, Wide","Jun 18, 2013","PG-13 (Intense Life/Death Situations|Brief Strong Language)","English","2h 6m"
"65cc101b-3c09-3825-b614-bf2978c081dd",2000,"https://www.rottentomatoes.com/m/erin_brockovich","Erin Brockovich",85.0,"positive",81.0,"positive","Mar 17, 2000, Wide","Feb 25, 2014","R (Language)","English","2h 11m"
"6812cdf0-bddb-3b48-874a-eb41316b8a0e",2000,"https://www.rottentomatoes.com/m/1095414-whatever_it_takes","Whatever It Takes",16.0,"negative",45.0,"negative","Mar 31, 2000, Wide","Jan 1, 2012","PG-13 (Thematic Elements|Sexual Content|Language)","English","1h 34m"
"68f7d06a-fe02-30d7-8a89-097a658eef1a",2000,"https://www.rottentomatoes.com/m/disneys_the_kid","Disney's The Kid",49.0,"negative",49.0,"negative","Jul 7, 2000, Wide","Jun 10, 2016","PG (Mild Language)","English","1h 44m"
"6b3b1f01-cbcc-3d16-86c0-20fea47b8cf4",2000,"https://www.rottentomatoes.com/m/1096832-where_the_heart_is","Where the Heart Is",35.0,"negative",76.0,"positive","Apr 28, 2000, Wide","Nov 25, 2015","PG-13 (Sexual Content|Language|Thematic Elements)","English","2h 0m"
"6bf10f4c-be7b-350c-b15e-99a5cc4d6e35",2000,"https://www.rottentomatoes.com/m/emperors_new_groove","The Emperor's New Groove",86.0,"positive",84.0,"positive","Dec 15, 2000, Wide","Jan 1, 2014","G","English","1h 19m"
"6f977bcb-6abc-36f2-9874-c5f5f00cf09d",2000,"https://www.rottentomatoes.com/m/o_brother_where_art_thou","O Brother, Where Art Thou?",78.0,"positive",89.0,"positive","Dec 22, 2000, Wide","Dec 13, 2015","PG-13 (Violence|Language)","English","1h 46m"
"720db978-096c-3a71-8b3d-aea06c916339",2000,"https://www.rottentomatoes.com/m/you_can_count_on_me","You Can Count on Me",95.0,"positive",88.0,"positive","Nov 10, 2000, Wide","Jun 15, 2011","R (Scene of Sexuality|Language|Some Drug Use)","English","1h 49m"
"72a837ec-ac70-3960-a826-8ad0b61325a1",2000,"https://www.rottentomatoes.com/m/watcher","The Watcher",11.0,"negative",28.0,"negative","Sep 8, 2000, Wide","Feb 12, 2014","R (Violence|Language)","English","1h 36m"
